"Owner","Property Address","Control Map","Group","Parcel","Special Interest","Parcel ID","Subdivision","Lot","Class","Sale Date"
"CASTALIAN SPRINGS BETHPAGE WATER UTILITY","MARTHA LANE  0","133","","048.09","000","133    04809 000","PRUETT PLACE","","City","7/14/2021"
"CASTALIAN SPRINGS BETHPAGE WATER UTILITY","HIDDEN COVE ROAD  0","133","","048.10","000","133    04810 000","ALEXANDER ACRES","2","City","7/14/2021"
"CITY OF GALLATIN","DOROTHY JORDAN AVENUE  0","113O","L","021.00","000","113O L 02100 000","","","City","9/19/2025"
"CITY OF GALLATIN","JONES STREET  117","126F","H","011.00","000","126F H 01100 000","JONES ADDITION","15-17","City","7/17/2023"
"CITY OF GALLATIN","JONES STREET  119","126F","H","012.00","000","126F H 01200 000","JONES ADDITION","18-23","City","7/17/2023"
"CITY OF GALLATIN TENNESSEE","SCHELL STREET EAST  142","126F","E","005.00","000","126F E 00500 000","","","City","7/3/2023"
"CITY OF GALLATIN TENNESSEE","JONES STREET  107","126F","H","006.00","000","126F H 00600 000","","","City","8/20/2025"
"CITY OF GALLATIN TENNESSEE","JONES STREET  123","126F","H","013.00","000","126F H 01300 000","JONES  ADDITION","IST","City","1/10/2024"
"CITY OF GALLATIN TENNESSEE","JONES STREET  149","126F","H","022.00","000","126F H 02200 000","JONES ADD","IST","City","2/15/2023"
"CITY OF GALLATN TENNESSEE","JONES STREET  127","126F","H","015.00","000","126F H 01500 000","JONES ADDITION","IST","City","8/18/2023"
"CITY OF HENDERSONVILLE","EAST MAIN STREET  260","159J","A","021.19","000","159J A 02119 000","","","City","12/13/2023"
"CITY OF HENDERSONVILLE","SAVELY COURT  114","160L","D","005.00","000","160L D 00500 000","OAKVALE SEC. 3B","0113","City","1/25/2021"
"CITY OF HENDERSONVILLE","SAVELY COURT  112","160L","D","006.00","000","160L D 00600 000","OAKVALE S/D SEC. 3B","0114","City","2/11/2021"
"CITY OF HENDERSONVILLE","SAVELY COURT  108","160L","D","008.00","000","160L D 00800 000","OAKVALE SEC. 3B","0116","City","2/11/2021"
"CITY OF HENDERSONVILLE","SAVELY COURT  106","160L","D","009.00","000","160L D 00900 000","OAKVALE SEC. 3B","0117","City","2/10/2021"
"CITY OF HENDERSONVILLE ATTN LANCE WRAY","CENTER POINT ROAD  1455","144P","D","008.00","000","144P D 00800 000","WOODBRIDGE AT MANSKE","8","City","9/23/2024"
"CITY OF HENDERSONVILLE ATTN LANCE WRAY","CENTER POINT ROAD  1473","144P","D","009.00","000","144P D 00900 000","WOODBRIDGE AT MANSKE","9","City","9/23/2024"
"CITY OF MILLERSVILLE","LOUISVILLE HWY  1182","121P","C","009.00","000","121P C 00900 000","","","City","6/11/2021"
"CITY OF MILLERSVILLE","LOUISVILLE HWY  1178","121P","C","010.00","000","121P C 01000 000","","","City","11/17/2021"
"CITY OF PORTLAND","AIRPORT ROAD  0","033","","061.01","000","033    06101 000","","","City","6/30/2023"
"CITY OF PORTLAND","LEONA STREET  105","033H","E","019.01","000","033H E 01901 000","","","City","4/6/2021"
"CITY OF PORTLAND","CHURCH STREET  118","033H","G","029.00","000","033H G 02900 000","","","City","12/10/2021"
"CITY OF PORTLAND TENNESSEE","109N HWY  3212","039","","117.00","000","039    11700 000","","","City","5/11/2018"
"CITY OF PORTLAND TENNESSEE","109N HWY  3212","039","","117.00","002","039    11700 002","","","City","5/11/2018"
"CITY OF WHITE HOUSE, TENNESSEE ATTN: GERALD HERMAN","OAKDALE DRIVE  0","097E","F","021.01","000","097E F 02101 000","NORTHWOODS PHASE 1 S","513","City","6/3/2025"
"GALLATIN CITY & CEMC","NICHOLS LANE  255","135","","034.01","000","135    03401 000","","","City","7/26/2019"
"GALLATIN CITY OF","GIBBS LANE  0","105","","028.01","000","105    02801 000","TRIPLE CREEK PARK","","City","9/26/1997"
"GALLATIN CITY OF","31E HWY  0","105","","046.01","000","105    04601 000","","","City","1/11/1993"
"GALLATIN CITY OF","HARTSVILLE PIKE  0","111","","001.01","000","111    00101 000","GALLATIN INDUSTRIAL CENTER PH 4","10-11","City","2/10/2015"
"GALLATIN CITY OF","31E HWY  0","112","","004.01","000","112    00401 000","TRIPLE CREEK PARK","","City","9/26/1997"
"GALLATIN CITY OF","COMMERCE WAY  0","112","","103.00","000","112    10300 000","","","City","1/29/1992"
"GALLATIN CITY OF","AIRPORT ROAD  395","112","","105.00","000","112    10500 000","ENGLAND PROP","","City","1/14/2015"
"GALLATIN CITY OF","COMMERCE WAY  0","112","","110.00","000","112    11000 000","GALLATIN INDUSTRIAL","3","City","1/29/1992"
"GALLATIN CITY OF","TULIP CIRCLE  0","112P","A","027.00","000","112P A 02700 000","","","City","2/7/1980"
"GALLATIN CITY OF","25E HWY  0","112P","D","038.01","000","112P D 03801 000","","","City","8/13/1980"
"GALLATIN CITY OF","ALBERT GALLATIN AVE  1465","113","","002.09","000","113    00209 000","NEXUS PH1","1","City","12/28/2023"
"GALLATIN CITY OF","DOBBINS PIKE  0","113","","022.01","000","113    02201 000","TRIPLE CREEK PARK","","City","9/26/1997"
"GALLATIN CITY OF","HIX LANE  0","113","","024.00","000","113    02400 000","TRIPLE CREEK PARK","","City","11/11/1997"
"GALLATIN CITY OF","ALBERT GALLATIN AVENUE E 210","113","","025.09","000","113    02509 000","","","City","9/7/1989"
"GALLATIN CITY OF","ALBERT GALLATIN AVENUE E 0","113","","025.10","000","113    02510 000","","","City","9/7/1989"
"GALLATIN CITY OF","31E HWY  0","113","","026.11","000","113    02611 000","","","City","3/26/2010"
"GALLATIN CITY OF","WATER AVENUE NORTH  875","113F","A","006.00","000","113F A 00600 000","","","City","7/29/1992"
"GALLATIN CITY OF","MUNICIPAL PARK DRIVE  110","113F","A","007.00","000","113F A 00700 000","","","City","8/19/1992"
"GALLATIN CITY OF","HATTEN TRACK ROAD  518","113G","A","003.03","000","113G A 00303 000","HATTEN TRACK HEIGHTS","5-5","City","12/16/2014"
"GALLATIN CITY OF","GAYLE AVENUE  0","113L","E","001.00","000","113L E 00100 000","TWIN OAKS EST.","IST","City","5/12/2010"
"GALLATIN CITY OF","31E HWY  0","113L","E","033.01","000","113L E 03301 000","","","City","2/8/2010"
"GALLATIN CITY OF","WESTLAND AVENUE  0","113M","A","009.00","000","113M A 00900 000","WESTLAND HEIGHTS ADDITION","LIST","City","7/28/2011"
"GALLATIN CITY OF","WESTLAND AVENUE  0","113M","A","009.01","000","113M A 00901 000","","","City","12/31/2004"
