"Owner","Property Address","Control Map","Group","Parcel","Special Interest","Parcel ID","Subdivision","Lot","Class","Sale Date"
"CEMETERY RESTORATION OF MAPLE HILL INC","NORTH RUSSELL STREET  139","033A","E","003.00","000","033A E 00300 000","","","County","3/1/2021"
"DAVIDSON COUNTY METRO GOVT","MAPLE ROW ESTATES  0","159O","A","018.00","000","159O A 01800 000","","","County","1/30/1967"
"DEER POINT IN THE MAPLES TIMMONS PROPERTIES C/O","DEER POINT CIRCLE  0","159N","I","009.00","000","159N I 00900 000","DEER POINT CONDOS","","County","12/31/1998"
"HABILITATION AND TRAINING SERVICES INC","31E HWY OLD  21","090","","076.00","000","090    07600 000","REESE FARM","18","County","12/31/2021"
"METROPOLITAN GOVERNMENT OF NASHVILLE & DAVIDSON CO","WALTON FERRY ROAD  0","170E","A","001.01","000","170E A 00101 000","","","County","10/24/1963"
"MUSIC CITY EXECUTIVE AIRPORT AUTHORITY C/O JEFF DUNHAM","NEWTON LANE  370","134","","027.01","000","134    02701 000","","","County","12/12/2023"
"MUSIC CITY EXECUTIVE AIRPORT AUTHORITY C/O JEFF DUNHAM","NEWTON LANE  0","134","","027.02","000","134    02702 000","","","County","12/12/2023"
"MUSIC CITY EXECUTIVE AIRPORT AUTHORITY C/O JEFF DUNHAM","NEWTON LANE  0","134","","027.03","000","134    02703 000","","","County","12/12/2023"
"NASHVILLE CITY OF","MAPLE STREET  108","160M","B","007.00","000","160M B 00700 000","","","County","10/19/1961"
"NASHVILLE CITY OF","ROCKLAND ROAD  0","163C","A","011.00","000","163C A 01100 000","","","County","6/21/1962"
"RESOURCE AUTHORITY IN SUMNER COUNTY TENN","BLACKEY BANDY ROAD  0","030","","071.00","000","030    07100 000","","","County","6/15/1993"
"RESOURCE AUTHORITY IN SUMNER COUNTY, TN","WEEPING WILLOW ROAD  0","101","","015.07","000","101    01507 000","","","County","5/21/2021"
"RESOURCE AUTHORITY OF SUMNER COUNTY","GARRISON BRANCH ROAD  0","101","","010.02","000","101    01002 000","","","County","4/20/1990"
"RESOURCE AUTHORITY SUMNER","ODOMS BEND ROAD  0","149","","008.01","000","149    00801 000","","","County","5/16/1994"
"RESOURCE AUTHORITY SUMNER COUNTY","ODOMS BEND ROAD  0","149","","007.00","000","149    00700 000","","","County","10/17/1988"
"RESOURCE AUTHORITY SUMNER COUNTY TENNESSEE","ODOMS BEND ROAD  0","149","","009.02","000","149    00902 000","","","County","12/22/1995"
"SAFE PLACE FOR ANIMALS","MALLARD DRIVE  905","125E","A","002.00","000","125E A 00200 000","VILLAGE GREEN BUSINE","19","County","2/18/2016"
