"Owner","Property Address","Control Map","Group","Parcel","Special Interest","Parcel ID","Subdivision","Lot","Class","Sale Date"
"BAY POINTE PROPERTY ASSOCIATION INC","BAY POINTE  0","169E","A","001.04","000","169E A 00104 000","BAY POINTE PH 1 REV","IST","Other Exempt","11/3/1987"
"CASTALIAN SPRINGS BETHPAGE WATER UTILITY DISTRICT","WHITEFIELD ROAD  0","049","","047.02","000","049    04702 000","","","Other Exempt","6/2/2022"
"CEMETERY CARTER COLLIER","HARRIS LANE  0","125","","063.00","000","125    06300 000","HITE PROP","1","Other Exempt",""
"CEMETERY SULLIVAN","109N HWY  0","113","","001.00","000","113    00100 000","","","Other Exempt","11/14/1964"
"DEER POINT HOMEOWNERS TIMMONS PROPERTIES C/O","DEER POINT DRIVE  0","159N","I","007.00","000","159N I 00700 000","DEER POINT RESUB","","Other Exempt","4/15/1988"
"FIRST TENNESSEE BANK NA","IMPERIAL BOULEVARD  0","163C","F","002.00","000","163C F 00200 000","IMPERIAL POINTE CONDOMINIUM","1","Other Exempt","9/27/2012"
"FRIENDS OF INDIAN LAKE PENINSULA","GANDER WAY  110","164F","A","021.00","000","164F A 02100 000","","","Other Exempt","7/2/2018"
"GOODALL INC BUILDERS","31W HWY  0","097","","016.00","000","097    01600 000","KENSINGTON GREEN-WIL","P/01","Other Exempt","8/29/2005"
"GOODALL INC BUILDERS","DEVON CHASE HILL  395","135B","C","001.00","000","135B C 00100 000","LENOX PLACE PH 1 & 2","CLUB HSE","Other Exempt","3/1/2005"
"HARDAWAY JUDY G","DRY FORK CREEK ROAD  0","070","","032.04","000","070    03204 000","","","Other Exempt","8/25/2016"
"HICKORY BAY TOWERS HOA TIMMONS PROP INC C/O","SANDERS FERRY RD  200","164I","C","026.00","000","164I C 02600 000","HICKORY BAY & CENTRAL BAPTIST","","Other Exempt","9/1/1993"
"HIGHLAND VOLUNTEER FIRE DEPT INC","NEW DEAL POTTS RD  380","053","","057.06","000","053    05706 000","WALKING HORSE LLC ESTATES RESUB","2A","Other Exempt","8/29/2024"
"HOME SOCIETY LODGE 3 C/O SONYA TIMBERLAKE","WOLF HILL ROAD  0","087","","004.00","000","087    00400 000","","","Other Exempt","4/7/2016"
"MCCLOUD GEORGE EDWARD ETUX LENA BETH % LINDA CHUMBLEY","ROCK HOUSE HOLLOW ROAD OFF  0","047","","028.02","000","047    02802 000","MCCLOUD FAMILY CEMET","","Other Exempt","7/23/1974"
"MENTAL HEALTH COOPERATIVE INC","WATER AVENUE SOUTH  1078","135C","B","017.00","000","135C B 01700 000","HALEWOOD ESTATES RES REV 2","1","Other Exempt","5/14/2018"
"MERITAGE HOMES OF TN INC","DOUGLAS BEND ROAD  204","147","","003.00","000","147    00300 000","HARBOR CROSSING","","Other Exempt","12/15/2021"
"MERITAGE HOMES OF TN INC","DOUGLAS BEND ROAD  0","147","","010.08","000","147    01008 000","","","Other Exempt","4/22/2015"
"NASHWOOD REAL ESTATE INC","BALES STREET","126M","C","023.01","000","126M C 02301 000","CARTER S/D","IST","Other Exempt","4/12/2022"
"OB NASHVILLE LLC","SAUNDERSVILLE ROAD  117","145","","075.00","000","145    07500 000","INDIAN LAKE VILLAGE-","33","Other Exempt","6/12/2019"
"PORTLAND PRESERVATION FOUNDATION INC","NORTH RUSSELL STREET  109","033G","A","016.00","000","033G A 01600 000","","","Other Exempt","2/14/2013"
"RALLEY POINT CONDOS LLC","EAST MAIN STREET  UNIT 32  752","146","","058.00","000","146    05800 000","ERNST WESTERN CORP","2","Other Exempt","6/7/2023"
"REECE JAMES SCOTT JENNIFER C ETUX","CENTER POINT ROAD  0","160","","023.04","000","160    02304 000","JAMES REECE","CEMETERY","Other Exempt","9/27/2013"
"ROBB GARY A ROBB JAMES H","CAIRO ROAD  0","133","","008.02","000","133    00802 000","","","Other Exempt","1/17/2013"
"SAVE ONE","CANFIELD PLACE  114","160M","C","023.00","013","160M C 02300C013","HENDERSONVILLE COURT","5","Other Exempt","10/27/2023"
"SKY HOUSES INC","PACE STREET","113J","F","008.00","000","113J F 00800 000","CLEARVIEW HTS. NO. 2","6 &-1,2","Other Exempt","2/13/2021"
"TEXAS LONGHORN EQUITIES CORP II","ROSE COTTAGE CIRCLE  0","112P","F","043.00","000","112P F 04300 000","STONE COTTAGE VILLAS","","Other Exempt","2/1/2006"
"TEXAS LONGHORN EQUITIES CORP II","ROSE COTTAGE CIRCLE  0","112P","F","044.00","000","112P F 04400 000","STONE COTTAGE VILLAS","","Other Exempt","2/1/2006"
"TEXAS LONGHORN EQUITIES CORP II","COTTAGE DRIVE  0","112P","F","045.00","000","112P F 04500 000","STONE COTTAGE VILLAS","","Other Exempt","2/1/2006"
"VILLAGES OF PLANTATION C/O ROWCAL MANAGEMENT","BROWNS LANE  0","136F","F","001.00","000","136F F 00100 000","VILLAGES OF PLANTATION","OS","Other Exempt","8/9/2006"
"WC LAND INVESTMENT LLC CEMETERY JONES","ELMSFORD COURT (CEMETARY)  0","146A","D","017.00","000","146A D 01700 000","STONECREST PH 2 SEC","","Other Exempt","1/16/2013"
"WILLOW LAKE HOMEOWNERS RALPH GREGORY C/O","WILLOW LAKE  0","052","","038.03","000","052    03803 000","WILLOW LAKE","","Other Exempt",""
