"Owner","Property Address","Control Map","Group","Parcel","Special Interest","Parcel ID","Subdivision","Lot","Class","Sale Date"
"BLEDSOE BAPTIST ASSOCIATION","WOLF HILL ROAD  235","064","","053.00","000","064    05300 000","","","Religious","7/15/2022"
"BRINKLEY CEMETARY","BRINKLEY BRANCH ROAD  0","116","","016.02","000","116    01602 000","","","Religious","3/13/1946"
"BT OF ARK INC JOSEPH F GLENN SU 1800 C/O","BOYERS AVENUE  204","126C","C","027.00","000","126C C 02700 000","","","Religious","5/12/1987"
"BURRUS WILLIAM C ETAL FIRST UNITED METHODIST C/O","INDIAN LAKE ROAD  115","159J","A","023.00","000","159J A 02300 000","MAPLE ROW CENTER SEC 3 & 1ST UNITED","2A","Religious","6/23/1977"
"CALVARY CHAPEL AT RIVERGATE INC","WILLIS BRANCH ROAD  1001","143","","051.03","000","143    05103 000","CALVARY CHAPEL","","Religious","3/29/1999"
"CEMETERY","31W HWY  0","055","","020.08","000","055    02008 000","BLUE CREEK ESTS. SEC","","Religious",""
"CEMETERY","76 HWY  0","058","","065.04","000","058    06504 000","J W BRILEY PROPERTY","","Religious",""
"CEMETERY","AIRPORT ROAD  0","112","","016.11","000","112    01611 000","","","Religious",""
"CEMETERY","CORUM HILL ROAD  0","129","","061.00","000","129    06100 000","","","Religious","11/16/1977"
"CEMETERY","CANOE BRANCH ROAD  0","129","","065.00","000","129    06500 000","","","Religious",""
"CEMETERY","CANOE BRANCH ROAD  0","130","","015.00","000","130    01500 000","","","Religious",""
"CEMETERY","ROAD  0","147K","B","018.00","000","147K B 01800 000","STATION CAMP LANDING","","Religious",""
"CEMETERY","WINDWARD POINT OFF  0","169O","A","010.00","000","169O A 01000 000","CHEROKEE WOODS SEC 9 PT 1","EXEMPT","Religious",""
"CEMETERY","SHORECREST CIRCLE OFF  0","170F","B","022.01","000","170F B 02201 000","","","Religious",""
"CEMETERY ANDERSON","GIBBS LANE  0","105","","003.00","000","105    00300 000","","","Religious",""
"CEMETERY ANDERSON","ODOMS BEND ROAD  0","148","","074.00","000","148    07400 000","","","Religious",""
"CEMETERY ANDERSON","ODOMS BEND ROAD  0","149","","032.00","000","149    03200 000","","","Religious",""
"CEMETERY ANGELA","BEN ARMSTRONG ROAD  0","129","","118.00","000","129    11800 000","","","Religious",""
"CEMETERY APPLE","WINNIE APPLE FARM  0","147","","021.00","000","147    02100 000","","","Religious",""
"CEMETERY ARMSTRONG","FUQUA PROPERTY  0","102","","015.00","000","102    01500 000","","","Religious",""
"CEMETERY AUSTIN","FOUNT AUSTIN 133-73  0","133","","041.00","000","133    04100 000","","","Religious",""
"CEMETERY AVANT","NEW SHACKLE ISLAND RD  0","138","","039.00","000","138    03900 000","","","Religious",""
"CEMETERY BAKER","DOUGLAS LANE  0","103","","012.00","000","103    01200 000","","","Religious",""
