"Owner","Property Address","Control Map","Group","Parcel","Special Interest","Parcel ID","Subdivision","Lot","Class","Sale Date"
"CEMETERY HALLTOWN","HALLTOWN ROAD  0","058","","115.01","000","058    11501 000","","","State","5/15/1969"
"CEMETERY PEYTON","SAINT BLAISE ROAD  0","136","","004.09","000","136    00409 000","","","State","10/19/2011"
"COTTONTOWN CEMETERY","25W HWY  0","094","","013.00","000","094    01300 000","","","State","10/13/1960"
"JUDICIAL DRUG TASK FORCE 18TH","SCOTTY PARKER ROAD  1605","104","","002.01","000","104    00201 000","JAMES L MCCORMICK PR","2A-2","State","5/28/2009"
"LARKSPUR CONSERVATION INC ATTN PRESIDENT","BEAR CARR ROAD  0","065","","001.03","001","065    00103 001","","","State","12/20/2018"
"NATURE CONSERVANCY THE","BOZE CARR ROAD  0","046","","004.03","000","046    00403 000","","","State","12/18/1980"
"NATURE CONSERVANCY THE","PHILLIPS HOLLOW ROAD  0","065","","001.02","000","065    00102 000","","","State","9/28/1978"
"NATURE CONSERVANCY THE","TAYLOR HOLLOW  0","065","","002.01","000","065    00201 000","","","State","9/28/1978"
"SPENCER SPRINGS HOA INC","SPENCER SPRINGS DRIVE  0","127E","D","053.00","000","127E D 05300 000","SPENCER SPRINGS","","State","3/1/2018"
"SUMNER MG LLC","SCOTTY PARKER ROAD  1623","104","","005.00","002","104    00500 002","","","State","12/13/2004"
"TENN HWY DEPT","HARTSVILLE PIKE","112","","074.00","000","112    07400 000","","","State",""
"TENNESSEE HISTORICAL COMMISSION OF THE STATE OF TENNESSEE","CRAGFONT RD  200","111","","008.00","000","111    00800 000","","","State","12/11/1958"
"TENNESSEE RISK MANAGEMENT TRUST ATTN TRUST ADMINISTRATOR C/O","TAMARAS WAY  101","146","","004.21","000","146    00421 000","SOUTHVIEW PROF PLAZA RESUB LT 4 & OPSP","4A","State","1/22/2021"
"TENNESSEE STATE OF","52 HWY  0","034","","048.02","000","034    04802 000","","","State",""
"TENNESSEE STATE OF","JONES ROAD  0","095","","042.01","000","095    04201 000","","","State","3/16/1952"
"TENNESSEE STATE OF","25E HWY OLD  0","110","","043.00","000","110    04300 000","","","State","5/16/1977"
"TENNESSEE STATE OF","25E HWY OLD  0","110","","045.09","000","110    04509 000","JENKINS FARM","R28","State","7/17/2002"
"TENNESSEE STATE OF","25E HWY OLD  0","110","","046.00","000","110    04600 000","","","State","8/16/1974"
"TENNESSEE STATE OF","CRAGFONT ROAD  0","111","","005.00","000","111    00500 000","J C MCMURTRY","1&4","State","6/23/1986"
"TENNESSEE STATE OF","CRAGFONT ROAD  0","111","","005.02","000","111    00502 000","J C MCMURTRY PROP","3","State","11/3/1995"
"TENNESSEE STATE OF","CRAGFONT ROAD  0","111","","008.01","000","111    00801 000","CRAGFONT","","State","8/17/1979"
"TENNESSEE STATE OF","CRAGFONT ROAD  0","111","","009.02","000","111    00902 000","CRAGFONT","","State","12/14/1977"
"TENNESSEE STATE OF","25E HWY/AIRPORT ROAD  0","112","","017.01","000","112    01701 000","GALLATIN IND DEV ASS","","State","9/4/1991"
"TENNESSEE STATE OF","25E HWY OLD  0","129","","011.00","000","129    01100 000","","","State","7/24/2007"
"TENNESSEE STATE OF","25E HWY OLD  495","129","","011.01","000","129    01101 000","","","State","7/24/2007"
"TENNESSEE STATE OF","NASHVILLE PIKE  1400","136","","006.01","000","136    00601 000","CEDARBROOK","","State","12/21/1999"
"TENNESSEE STATE OF","NASHVILLE PIKE  1400","136","","006.03","000","136    00603 000","","","State","12/21/1999"
"TENNESSEE STATE OF","ROCK CASTLE LANE  0","169C","B","024.00","000","169C B 02400 000","","","State","5/8/1969"
"TENNESSEE STATE OF %TN DEPT OF TRANSPORTATION C/O","OLD SHACKLE ISLAND ROAD  0","160M","B","030.00","000","160M B 03000 000","","","State","5/2/2016"
"TENNESSEE STATE OF 22ND FLOOR","ROCK SPRINGS ROAD  0","110","","014.00","000","110    01400 000","","","State","6/13/2005"
"TENNESSEE STATE OF HWY DEPT","31E HWY NE 0","113L","D","034.00","000","113L D 03400 000","GREEN HILLS","PT 7","State","11/15/1957"
"TENNESSEE STATE OF HWY DEPT","31E HWY  0","113L","D","035.00","000","113L D 03500 000","GREEN HILLS","IST","State","4/23/1966"
"TENNESSEE STATE OF HWY DEPT","31E HWY NE 0","113L","D","036.00","000","113L D 03600 000","GREEN HILLS","IST","State","8/25/1962"
"TENNESSEE STATE OF TDOT C/O","NEW SHACKLE ISLAND RD  0","144M","D","001.00","000","144M D 00100 000","TENTEX COMM PROP","1","State","5/9/1997"
"TENNESSEE VALLEY AUTHORITY UNITED STATES OF AMERICA","DRY FORK CREEK ROAD  0","083","","020.08","000","083    02008 000","","","State","11/14/2017"
"TN STATE OF","TGT ROAD  247","016","","034.00","000","016    03400 000","JAMES D FREEDLE","1","State","12/16/2014"
"TVA","SOUTH OF HWY 386 BY PASS  0","137","","062.01","000","137    06201 000","","","State","1/25/2012"
"UNITED STATES OF AMERICA","GATEWAY DRIVE  1434","111","","001.02","000","111    00102 000","GALLATIN INDUSTRIAL CENTER PH 4","9","State","7/25/2022"
"VOLUNTEER STATE COMMUNITY COLLEGE % TN BOARD OF","NASHVILLE PIKE  0","136","","006.04","000","136    00604 000","GAP BLVD PROPERTY","1","State","11/18/1997"
"VOLUNTEER STATE COMMUNITY COLLEGE %W NICHOLS ED.D","UPPER STATION CAMP CK  0","102","","047.00","000","102    04700 000","","","State","3/11/2011"
